City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,georgetown,5.4112,100.3354,26.96,68,20,3.09,MY,1738267098
181,la passe,45.5549,-0.8967,7.76,83,100,5.58,FR,1738267099
182,manismata,-2.4667,111.0333,23.08,95,100,1.51,ID,1738267101
183,papao,-17.75,-149.55,29.82,77,15,8.36,PF,1738267102
184,remire-montjoly,4.9167,-52.2667,29.02,74,75,6.17,GF,1738267103
185,olyokminsk,60.3736,120.4264,-37.32,100,100,0.26,RU,1738267104
186,mount gambier,-37.8333,140.7667,10.69,93,77,0.54,AU,1738267105
187,nuku'alofa,-21.1333,-175.2,27.19,83,75,3.6,TO,1738267107
188,kapuskasing,49.4169,-82.4331,-10.95,79,75,1.03,CA,1738267108
189,sibut,5.718,19.0739,26.43,19,97,1.34,CF,1738267109
190,hauterive,46.0901,3.4459,6.57,93,97,3.63,FR,1738267110
191,terrigal,-33.45,151.45,21.21,93,99,6.11,AU,1738267111
192,corinto,37.9407,22.9573,11.05,77,8,2.59,GR,1738267112
193,prudnik,50.3212,17.5746,6.89,75,6,4.05,PL,1738267114
194,st. john's,47.5649,-52.7093,-2.79,91,100,6.69,CA,1738267115
195,yarmouth,41.7057,-70.2286,-0.51,36,0,9.83,US,1738267116
196,santa ana de yacuma,-13.75,-65.4333,24.97,88,100,2.06,BO,1738267117
197,haiku-pauwela,20.9219,-156.3051,26.22,75,100,16.46,US,1738267118
198,lillehammer,61.1146,10.4674,-8.45,89,10,2.19,NO,1738267119
199,trairi,-3.2778,-39.2689,27.6,76,73,3.76,BR,1738267122
200,kingston,17.997,-76.7936,32.53,52,20,6.17,JM,1738267123
201,manturovo,58.3353,44.7619,0.85,99,100,2.93,RU,1738267124
202,al ghayzah,16.2079,52.176,21.0,73,82,1.95,YE,1738267125
203,ancud,-41.8697,-73.8203,17.23,75,3,7.36,CL,1738267128
204,suva,-18.1416,178.4415,23.71,100,75,3.09,FJ,1738267129
205,manicore,-5.8092,-61.3003,27.16,93,100,0.85,BR,1738267130
206,geraldton,-28.7667,114.6,21.23,88,20,0.51,AU,1738267131
207,altay,47.8667,88.1167,-12.86,94,100,1.88,CN,1738267132
208,puerto deseado,-47.7503,-65.8938,30.86,15,0,9.77,AR,1738267134
209,priargunsk,50.3691,119.1012,-35.74,100,88,0.46,RU,1738267135
210,kodinsk,58.6881,99.1844,-34.91,100,31,1.27,RU,1738267136
211,tura,25.5198,90.2201,15.55,90,100,1.7,IN,1738267137
212,weno,7.4515,151.8468,28.17,75,85,10.47,FM,1738267138
213,wagar,16.1525,36.2032,21.76,49,7,6.65,SD,1738267140
214,bikenibeu village,1.3673,173.1241,25.98,94,40,4.63,KI,1738267141
215,al burayqah,30.4062,19.5739,16.08,60,0,2.19,LY,1738267142
216,boa vista,2.8197,-60.6733,28.99,70,75,4.63,BR,1738267143
217,fauske,67.2588,15.3918,-0.03,90,100,2.37,NO,1738267144
218,callaway,30.153,-85.5699,22.8,72,0,3.09,US,1738267145
219,chernyshevskiy,63.0128,112.4714,-38.91,100,98,0.68,RU,1738267147
220,lautoka,-17.6167,177.4667,23.92,100,75,1.03,FJ,1738267148
221,alofi,-19.0595,-169.9187,26.94,83,100,4.12,NU,1738267149
222,el quebrachal,-25.2833,-64.0667,34.58,29,1,4.33,AR,1738267150
223,kharp,66.8014,65.8081,-21.61,100,100,1.24,RU,1738267153
224,urumqi,43.801,87.6005,-14.47,85,100,1.0,CN,1738266980
225,wellington,-41.2866,174.7756,18.81,82,75,6.69,NZ,1738267155
226,linqiong,30.4159,103.4609,7.64,86,100,1.94,CN,1738267157
227,hamilton,39.1834,-84.5333,9.69,50,100,4.12,US,1738266948
228,crateus,-5.1783,-40.6775,27.93,63,100,1.46,BR,1738267160
229,mathba,22.2855,89.9629,19.33,95,37,2.43,BD,1738267161
230,auki,-8.7676,160.7034,25.9,87,100,4.19,SB,1738267162
231,xam nua,20.4197,104.0439,10.54,91,37,1.27,LA,1738267163
232,puerto baquerizo moreno,-0.9,-89.6,28.55,70,40,7.2,EC,1738267164
233,kaihua,23.3687,104.28,6.21,96,40,3.13,CN,1738267166
234,ghadamis,30.1337,9.5007,15.17,22,0,5.44,LY,1738267167
235,oriximina,-1.7656,-55.8661,30.95,57,99,1.67,BR,1738267168
236,dharmanagar,24.3667,92.1667,14.86,88,100,0.83,IN,1738267169
237,shar,49.5886,81.0453,-7.04,96,100,3.48,KZ,1738267170
238,port blair,11.6667,92.75,25.46,74,3,2.9,IN,1738267171
239,egilsstadir,65.2653,-14.3948,-4.05,74,100,6.17,IS,1738267173
240,brena alta,28.65,-17.7833,15.97,55,75,6.69,ES,1738267174
241,afaahiti,-17.75,-149.2833,26.23,76,21,7.56,PF,1738267176
